Model,Game,Rounds,Total_Score,Avg_Score,Cooperation_Rate,Player_Cooperation_Rate,Exploitation_Rate,Nash_Deviation,Coordination_Rate,Preference_Success_Rate,Fairness_Balance,Win_Rate,Tie_Rate,Allocation_Entropy,Allocation_Consistency,Survival_Rate,Final_Resource_Level,Avg_Sustainability,Resource_Depleted
Llama-3.3-70B,prisoners_dilemma,10,30.0,3.0,1.0,1.0,0.0,1.0,,,,,,,,,,,
Llama-3.3-70B,battle_of_sexes,10,10.0,1.0,,,,,0.5,0.5,0.5,,,,,,,,
Llama-3.3-70B,colonel_blotto,10,1.0,0.1,,,,,,,,0.1,0.9,1.7438796548564035,0.9826315762894389,,,,
Llama-3.3-70B,resource_fishing,1,120.0,120.0,,,,,,,,,,,,0.06666666666666667,393.75,0.7875,False
Llama-3.3-70B,resource_pasture,15,1365.7406169244116,91.04937446162744,,,,,,,,,,,,1.0,828.5503061495461,0.8844719552050807,False
Llama-3.3-70B,resource_pollution,4,316.0,79.0,,,,,,,,,,,,0.26666666666666666,4.222370850683563,0.44935119331855866,True
DeepSeek-R1,prisoners_dilemma,10,30.0,3.0,1.0,1.0,0.0,1.0,,,,,,,,,,,
DeepSeek-R1,battle_of_sexes,10,20.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,
DeepSeek-R1,colonel_blotto,10,0.0,0.0,,,,,,,,0.0,1.0,1.791759468628055,0.9999999999999999,,,,
DeepSeek-R1,resource_fishing,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,True
DeepSeek-R1,resource_pasture,1,250.0,250.0,,,,,,,,,,,,0.06666666666666667,955.3944,0.9553944,False
DeepSeek-R1,resource_pollution,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,True
Llama-2-70B,prisoners_dilemma,10,30.0,3.0,1.0,1.0,0.0,1.0,,,,,,,,,,,
Llama-2-70B,battle_of_sexes,10,20.0,2.0,,,,,1.0,1.0,1.0,,,,,,,,
Llama-2-70B,colonel_blotto,10,0.0,0.0,,,,,,,,0.0,1.0,1.791759468628055,0.9999999999999999,,,,
Llama-2-70B,resource_fishing,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,True
Llama-2-70B,resource_pasture,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,True
Llama-2-70B,resource_pollution,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,,True
GPT-4,prisoners_dilemma,10,30.0,3.0,1.0,1.0,0.0,1.0,,,,,,,,,,,
GPT-4,battle_of_sexes,10,8.0,0.8,,,,,0.4,0.4,0.4,,,,,,,,
GPT-4,colonel_blotto,10,1.0,0.1,,,,,,,,0.2,0.7,1.6842460458481838,0.952240876740862,,,,
GPT-4,resource_fishing,9,422.6,46.955555555555556,,,,,,,,,,,,0.6,31.10219932314854,0.3776192931088909,True
GPT-4,resource_pasture,15,1689.7488212111768,112.64992141407846,,,,,,,,,,,,1.0,797.3129714697186,0.8647295398648545,False
GPT-4,resource_pollution,3,256.0,85.33333333333333,,,,,,,,,,,,0.2,18.961830821319307,0.46067044065773094,True
